estudio,pais,cidade,site,ja_na_campanha,tem_vaga_disciplina,url_da_vaga,veto_encontrado,observacao
Foxie Ventures,Austrália,Adelaide,https://www.foxieventures.com/,nao,sim,https://www.foxieventures.com/jobs/,NENHUM dos 11 termos,"MEDIA (ambiente). Environment Artist, Adelaide, Full Time. O quadro trata as posicoes como Express Interest. Busca literal dos 11 termos: nenhum. | ficha: https://3dvf.com/en/studio/foxie-ventures/"
Gradient Effects,EUA,Los Angeles,https://www.gradientfx.com/,nao,sim,https://www.gradientfx.com/jobs/,NENHUM dos 11 termos,"ALTA. 3D MODELER - Los Angeles. Anuncio integral lido: Maya, ZBrush, MudBox, Mari, materiais/shader/look development. Candidatura em https://gradientfx.com/application/. Busca literal dos 11 termos na pagina inteira: nenhum. Diz apenas NO PHONE CALLS e que nao aceita walk-in. | ficha: https://3dvf.com/en/studio/gradient-effects/"
GFactory,França,Lyon,https://www.the-gfactory.com/fr/,nao,sim,https://www.the-gfactory.com/fr/jobs/,"french (falso positivo: descreve a empresa como french art outsourcing studio, nao exige idioma)","MEDIA (ambiente). 3D ENVIRONMENT ARTIST MID/SENIOR, remote freelancer. Ambiente, entao MEDIA pela regra. Formato freelance, nao fixo. Unico dos 11 termos que aparece e french, e no contexto da descricao da empresa. | ficha: https://3dvf.com/en/studio/the-gfactory/"
Jungler,França,Saint Denis La plaine,https://www.jungler.tv/,nao,sim,https://www.jungler.tv/jobs,NENHUM dos 11 termos,"ALTA (pool de perfis, nao vaga datada). Pagina lista perfis procurados com botao Apply por perfil, entre eles 3D Look Dev, 3D Modeling - Characters, 3D Surfacing e Groom Artist, todos em La Plaine St-Denis. NAO e anuncio datado, e captacao permanente por perfil. Busca literal dos 11 termos: nenhum. | ficha: https://3dvf.com/en/studio/jungler/"
37Degrees Studio,Nova Zelândia,Wellington,https://37degrees-studio.com/,nao,sim,https://37degrees-studio.com/careers/,"NENHUM dos 11 termos, mas ver observacao","MEDIA (ambiente). SENIOR MATTE PAINTER/ENVIRONMENT ARTIST, Wellington. Nenhum dos 11 termos aparece, porem o texto diz literalmente Operating fully in-office from Wellington NZ e pede que o candidato informe your visa situation for working in New Zealand. Nao e veto escrito, e restricao presencial declarada. Candidatura por email. | ficha: https://3dvf.com/en/studio/37degrees-studio/"
Massive Entertainment,Suécia,Malmö,https://www.massive.se/,nao,sim,https://www.massive.se/job/lead-character-artist-744000144027102/,NENHUM dos 11 termos,"ALTA. Lead Character Artist, Malmo, The Division 2 (Ubisoft). Anuncio integral lido: Maya/3ds Max/ZBrush/Substance, personagem 3D puro. Busca literal dos 11 termos de veto: nenhum. Quadro tem 7 vagas. | ficha: https://3dvf.com/en/studio/massive-entertainment/"
Studio Rakete,Alemanha,Hamburg,http://www.studiorakete.de/,sim,site-fora-do-ar,,nao verificavel (site nao respondeu),"MEDIDO 08/09: o site do estudio NAO respondeu ao curl com User-Agent de Chrome e 18s de limite (HTTP 403, https). Nao e afirmacao sobre vaga, e afirmacao sobre a PORTA: o dominio nao serviu conteudo nesta rodada. Nao registrei como sem vaga. | ficha: https://3dvf.com/en/studio/studio-rakete/"
Trixter,Alemanha,Munich,https://www.trixter.de/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): TRIXTER (Speculative Job Application). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/trixter/
3p Studio,Austrália,Brisbane,https://www.3pstudio.com.au/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/3p-studio/"
Blackbird VFX,Austrália,Sydney,https://blackbird.la/,sim,site-fora-do-ar,,nao verificavel (site nao respondeu),"MEDIDO 08/09: o site do estudio NAO respondeu ao curl com User-Agent de Chrome e 18s de limite (HTTP 0, https). Nao e afirmacao sobre vaga, e afirmacao sobre a PORTA: o dominio nao serviu conteudo nesta rodada. Nao registrei como sem vaga. | ficha: https://3dvf.com/en/studio/blackbird-vfx/"
Blowfish Studios,Austrália,Sydney,https://www.blowfishstudios.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.blowfishstudios.com/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/blowfish-studios/"
Cheeky Little,Austrália,Manly,https://www.cheekylittle.com.au/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Cheeky Little Media (2ª via). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/cheeky-little/
Cumulus VFX,Austrália,Byron Bay,https://www.cumulusvfx.com/,nao,site-fora-do-ar,,nao verificavel (site nao respondeu),"MEDIDO 08/09: o site do estudio NAO respondeu ao curl com User-Agent de Chrome e 18s de limite (HTTP 200, https). Nao e afirmacao sobre vaga, e afirmacao sobre a PORTA: o dominio nao serviu conteudo nesta rodada. Nao registrei como sem vaga. | ficha: https://3dvf.com/en/studio/cumulus-vfx/"
Cutting Edge Post,Austrália,Sydney,https://www.cuttingedge.com.au/,nao,site-fora-do-ar,,nao verificavel (site nao respondeu),"MEDIDO 08/09: o site do estudio NAO respondeu ao curl com User-Agent de Chrome e 18s de limite (HTTP 0, https). Nao e afirmacao sobre vaga, e afirmacao sobre a PORTA: o dominio nao serviu conteudo nesta rodada. Nao registrei como sem vaga. | ficha: https://3dvf.com/en/studio/cutting-edge-post/"
Eye Candy Animation,Austrália,Braddon,https://eyecandyanimation.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/eye-candy-animation/"
Fin Design + Effects,Austrália,Sydney,https://www.findesign.com.au/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): FIN Design + Effects. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/fin-design-effects/
Flying Bark,Austrália,Alexandria,https://www.flyingbark.com.au/,sim,nao,,nao se aplica (sem vaga da disciplina),"MEDIDO 08/09 pela API publica do ATS (bamboohr:flyingbark, bamboohr:staticfe, bamboohr:resources, bamboohr:bhrpendo, bamboohr:images7): quadro devolveu 10 vaga(s) e NENHUMA e da disciplina (personagem, modelagem, textura, material, lookdev, surfacing, groom, sculpt, visual development). Afirmacao medida, nao presumida. | ficha: https://3dvf.com/en/studio/flying-bark/"
Goodman Brothers,Austrália,Sydney,https://www.goodmanbrothers.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/goodman-brothers/"
Jumbla,Austrália,Melbourne,https://www.jumbla.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.jumbla.com/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/jumbla/"
Luma Pictures,Austrália,Melbourne,https://www.lumapictures.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Luma Pictures. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/luma-pictures/
Mighty Nice,Austrália,Chippendale,https://mightynice.com.au/,sim,site-fora-do-ar,,nao verificavel (site nao respondeu),"MEDIDO 08/09: o site do estudio NAO respondeu ao curl com User-Agent de Chrome e 18s de limite (HTTP 202, https). Nao e afirmacao sobre vaga, e afirmacao sobre a PORTA: o dominio nao serviu conteudo nesta rodada. Nao registrei como sem vaga. | ficha: https://3dvf.com/en/studio/mighty-nice/"
Mode Games,Austrália,Sydney,https://mode-games.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://mode-games.com/jobs): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/mode-games/"
Pixel Zoo Animation Studios,Austrália,Brisbane,https://www.pixelzoo.com.au/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Pixel Zoo. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/pixel-zoo-animation-studios/
Plastic Wax,Austrália,Sydney,https://www.plasticwax.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Plastic Wax. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/plastic-wax/
Resin,Austrália,Adelaide,https://www.resin.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/resin/"
Rising Sun Pictures,Austrália,Adelaide,https://www.rsp.com.au/,sim,precisa-de-navegador,https://careers.pitchblackcompany.com/rsp/,nao verificavel por API,"MEDIDO 08/09: mesmo quadro SuccessFactors do grupo Pitch Black. O sitemap lista Senior Modelling Artist e Senior Look Development Artist em Adelaide, mas as fichas devolvem ""The system cant display the job at this time"". PRECISA DE NAVEGADOR. | ficha: https://3dvf.com/en/studio/rising-sun-pictures/"
Rotor Studios,Austrália,Sydney,https://www.rotorstudios.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://rotorstudios.elmotalent.com.au/careers/careers/jobs): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/rotor-studios/"
Spinifex Group,Austrália,Sydney,https://www.spinifexgroup.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/spinifex-group/"
Studio Hackett,Austrália,Sydney,https://www.studiohackett.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/studio-hackett/"
Studio Pancho,Austrália,Melbourne,https://www.pancho.com.au/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/studio-pancho/"
