data,estudio,email,draft_id,thread_id
2026-09-07,Airborn Studios (reenvio),contact@airborn-studios.com,r-3408352642801063892,1a03c6131076c4e5
2026-09-07,Kickstart Entertainment (reenvio),info@kickstartent.com,r-6089175288129526165,1a03c61984a01344
2026-09-07,VSQUAD (reenvio),head@vsquad.art,r5859397455397011064,1a03c6155856cd8d
2026-09-07,Squeeze Animation Studios,info@squeezestudio.com,r7473835075825529702,1a03dd58f738e2a8
2026-09-07,Nexus Studios,jobs@nexusstudios.com,r4674990710023492933,1a03e8bcab7b4370
2026-09-07,Telescope Animation,apply@telescopeanimation.com,r4926086831991845400,1a03c548d8fbe9a2
2026-09-07,Ars Thanea,warsaw@arsthanea.com,r-4796281431892465301,1a046b760bf0ed92
2026-09-07,Cheeky Little Media,contact@cheekylittle.com.au,r-1696374377645241491,1a0450406f5a6cf7
2026-09-07,Dexter Studios,dexterstudios@dexterstudios.com,r103155027218755139,1a045dcc8f6f4eea
2026-09-07,Fabrique d'Images,c.parisse@fabrique-d-images.com,r2820778068220540880,1a04504575ec959c
2026-09-07,Gimpville,oslo@gimpville.no,r-2065150977572104972,1a046b7af112df9e
2026-09-07,IBRIDO Studio,info@ibridostudio.com,r787794974389791275,1a045dd17a47c61e
2026-09-07,Keos Masons,info@keosmasons.com,r6243615992468440896,1a04792504b84adc
2026-09-07,La Station Animation,franck@lastationanimation.com,r380113225113327764,1a045dc567675660
2026-09-07,Mac Guff,recrutement@macguff.fr,r41952157867504812,1a045dc773169586
2026-09-07,Maga Animation Studio,contact@maga-animation.com,r-5185944749214917421,1a04949338027233
2026-09-07,Moon Studios,jobs@moongamestudios.com,r-5006153142926023064,1a046b721e2f250e
2026-09-07,PFX,info@pfx.tv,r-812447033680340277,1a04503b9fd476b2
2026-09-07,QLOC,contact@q-loc.com,r-6286926961101436000,1a046b743b0c33fb
2026-09-07,Watch Next Media,contact@watchnextmedia.com,r-6690020346389279730,1a0486ddbedb76b8
2026-09-07,Illogic,info@illogic.xyz,r8376641636707734801,1a04e6fbf592dd2c
2026-09-07,Studio Rakete,jobs2026@studiorakete.de,r9144508840536416267,1a050967a33485c7
2026-09-07,Asterman,office@asterman.org,r8346972387110810588,1a0599ab2e424eb8
2026-09-07,Candlestick Games,laura@candlestickgames.ca,r4007022805938609763,1a059a53e6fa5555
2026-09-07,Crows Crows Crows,hello@crowscrowscrows.com,r-9169674895789224385,1a059113aad1510f
2026-09-07,BAPBAP Studios,yo@bapbap.gg,r-1724815441459732340,1a05ad99a43e4f7a
2026-09-07,Hologram Monster,info@hologram-monster.com,r-5831101767865501538,1a05b4e70477ab35
2026-09-07,Iron Oak Games,jobs@ironoakgames.com,r7063076195336174858,1a05ad3c2c085ad7
2026-09-07,Keyframe Digital Productions,info@keyframe.ca,r6713667795974563281,1a05de8fc500170d
2026-09-07,Klei Entertainment,jobs@kleientertainment.com,r1294705468720571859,1a05dff1ed7cd920
2026-09-07,Next Level Games,careers@nextlevelgames.com,r-6019818280438620062,1a05df72b2fcb68e
2026-09-07,Red Manta / Twin Atlas,contact@twinatlas.com,r9030983864158850997,1a05ac5cede8f097
2026-09-07,This Game Studio,info@thisgamestudio.com,r3260868995050560593,1a05b4b39e165a3d
2026-09-07,Wildseed Studios,jobs@wildseedstudios.com,r-4103012248195360129,1a05e00629f8c755
2026-09-07,KOG,KOG@kog.co.kr,r-3166022848231743870,1a06251184eeb004
2026-09-07,Ironroot Games,careers@ironrootgames.com,r-7934958738904813473,1a062513308dc070
2026-09-07,Blue Isle Studios,jobs@blueislestudios.com,r-1395529005032248636,1a062510d238ab8e
2026-09-07,Artzee,talents@artzee.sg,r9109906672441757182,1a06250c1f45f68d
2026-09-07,Singularity 6,hello@singularity6.com,r5817012241368366009,1a06250b6433b234
2026-09-07,Aggro Crab,contact@aggrocrab.com,r7017016674460213795,1a0625092f6091cc
2026-09-07,Sunblink Entertainment,info@sunblink.com,r2781143636428464497,1a0625071aeaddb6
2026-09-07,Sparky Animation,jobs@sparkyanim.com,r1035590792525938451,1a062505ef240b93
2026-09-07,Sans Strings Studio,talent@sansstrings.studio,r-9027395105154140014,1a06250454be9c6a
2026-09-07,Young Horses,jobs@younghorsesgames.com,r-1851103393193569484,1a0625010907adce
2026-09-07,HOUND13,hr@hound13.com,r-3170883182641303678,1a06250101abb4f6
2026-09-07,Playful Studios,hiring@playfulstudios.com,r7735259629573120591,1a0624fed83c4ca6
2026-09-07,Devsisters,career@devsisters.com,r-2351670654524066701,1a0624fe8daa8208
2026-09-07,Hidden Path Entertainment,jobs@hiddenpath.com,r6033399557868965954,1a0624fc7c40437e
2026-09-07,Pearl Abyss,recruit@pearlabyss.com,r7777943532174272803,1a0624fc0798839e
2026-09-07,Moonbug Entertainment,hr@moonbug.com,r-5981793951672055412,1a0624fa0ede387c
