slug,http,posicoes,estado,nota
trixter,200,1,LOCATARIO-JA-ENVIADO,"Speculative Job Application id 2785192 - DUPLICATA, enviada e confirmada 18/09"
bongfish,200,1,LOCATARIO-JA-ENVIADO,"Open Application id 366240 - DUPLICATA, enviada e confirmada 06/09, recibo no Gmail"
stillalive,200,0,LOCATARIO-QUADRO-VAZIO,"stillalive studios, Innsbruck AT - XML bem formado com ZERO position: vazio de verdade"
traviangames,200,2,LOCATARIO-FORA-DA-DISCIPLINA,"Munique - Game Project Team Lead 2688405 e Senior Frontend Developer 2776934; as DUAS exigem alemao verhandlungssicher = VETO DE IDIOMA; zero espontanea"
bigpoint,200,1,LOCATARIO-FORA-DA-DISCIPLINA,"Hamburgo - Hauptbuchhalter/Senior General Ledger Accountant 2649847, contabilidade; zero espontanea"
blackforestgames,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
blindflugstudios,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
brokenrules,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
crytek,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
giantssoftware,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
innogames,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
keengames,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
kingart,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
limbic,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
mackevision,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
megagon,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
mimimi,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
mipumi,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
pixomondo,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
risefx,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
rockfishgames,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
scanlinevfx,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
thorium,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
wooga,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
aerosoft,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
akkordfilm,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
ambiententertainment,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
arri,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
assembleentertainment,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
astragon,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
blackanvil,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
blindflug,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
bytro,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
chimeraentertainment,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
chimney,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
cliffhanger,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
daedalicentertainment,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
deepsilver,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
egosoft,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
elevenfilm,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
exitgames,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
